	imdb_id	id	original_title	popularity	vote_average	vote_count	genre_ids	release_date
0	tt0266489	7288	Duplex	11.168	6.0	1069	[35]	2003-09-26
1	tt0266543	12	Finding Nemo	30.859	7.8	12765	[16, 10751]	2003-05-30
2	tt0266697	24	Kill Bill: Vol. 1	25.702	7.9	10680	[28, 80]	2003-10-10
3	tt0266747	32316	Marci X	3.999	3.5	35	[35]	2003-08-22
4	tt0266915	5175	Rush Hour 2	16.783	6.6	2184	[28, 35, 80]	2001-08-03
5	tt0266987	1535	Spy Game	11.204	6.9	1107	[28, 80, 53]	2001-11-18
6	tt0267129	6935	Yamakasi - Les samouraïs des temps modernes	12.274	5.9	306	[28, 80, 18]	2001-04-04
7	tt0267248	15992	Abandon	9.476	4.7	85	[18, 9648, 53]	2002-10-14
8	tt0267379	372818	Close Call	0.665	4.0	1	[18, 28, 80]	2004-04-16
9	tt0267626	8665	K-19: The Widowmaker	11.173	6.4	501	[18, 36, 9648, 53, 10752]	2002-07-19
10	tt0267633	64447	Karmina 2	0.6	4.3	3	[35, 27, 10749]	2001-07-13
11	tt0267804	10796	The One	11.514	5.9	805	[28, 878, 53]	2001-11-02
12	tt0267891	9927	The Ringer	9.554	5.7	190	[35]	2005-12-23
13	tt0267913	9637	Scooby-Doo	14.222	5.7	2273	[12, 35, 9648]	2002-06-14
14	tt0268126	2757	Adaptation.	8.486	7.4	1318	[35, 80, 18]	2002-12-06
15	tt0268200	26791	Brigham City	3.077	7.3	7	[80, 18, 9648, 53]	2001-03-30
16	tt0268219	60608	Comment j'ai tué mon père	1.92	6.5	4	[18]	2001-09-19
17	tt0268380	425	Ice Age	19.739	7.3	8283	[12, 16, 35, 10751]	2002-03-10
18	tt0268397	12589	Jimmy Neutron: Boy Genius	14.582	5.6	486	[28, 12, 16, 35, 10751, 14, 878]	2001-12-21
19	tt0268695	2135	The Time Machine	12.663	5.9	1208	[28, 12, 878]	2002-03-04
20	tt0268978	453	A Beautiful Mind	19.79	7.8	6098	[18, 10749]	2001-12-11
21	tt0268995	11086	The Majestic	8.23	6.7	381	[35, 18, 10749]	2001-12-21
22	tt0269095	13536	City By The Sea	9.128	5.8	182	[80, 18, 9648]	2002-09-06
23	tt0269329	55903	Betty Fisher et autres histoires	2.514	7.0	8	[18, 53, 80]	2001-09-01
24	tt0269341	25462	Two Can Play That Game	5.878	6.6	33	[35, 10749]	2001-09-07
25	tt0269347	10632	The Hunted	11.295	6.0	361	[28, 80, 18, 53]	2003-03-11
26	tt0269461	70443	Laissez-passer	1.265	6.5	8	[10752, 18, 36]	2002-01-09
27	tt0269499	14651	Ma femme est une actrice	3.274	6.2	36	[35, 18, 10749]	2001-01-14
28	tt0269746	24166	你那邊幾點	3.403	7.2	42	[18, 10749]	2001-05-15
29	tt0270259	31064	The Business of Strangers	3.487	5.8	22	[18, 53]	2001-09-13
30	tt0270288	4912	Confessions of a Dangerous Mind	11.042	6.8	592	[35, 80, 18, 10749, 53]	2002-12-30
31	tt0270480	26165	Juana la loca	2.791	5.9	29	[18, 36, 10749]	2001-09-28
32	tt0270707	13440	The Truth About Charlie	8.404	5.0	80	[18, 9648, 53, 10749]	2002-10-25
33	tt0270846	31117	Superbabies: Baby Geniuses 2	7.133	2.6	77	[35, 10751]	2004-08-27
34	tt0270971	101860	Go Tigers!	1.4	7.0	2	[99]	2001-01-20
35	tt0270980	2830	My Boss's Daughter	10.109	4.7	407	[35, 10749]	2003-08-21
36	tt0271027	2140	Kiss of the Dragon	11.999	6.6	548	[28, 80, 53]	2001-07-06
37	tt0271219	39141	Tadpole	4.976	5.9	40	[18, 35, 10749]	2002-11-01
38	tt0271259	9260	Welcome to Collinwood	8.172	6.3	95	[35]	2002-05-24
39	tt0271263	13376	Eight Crazy Nights	10.187	5.3	178	[16, 35, 10402]	2002-11-27
40	tt0271337	38210	18 ans après	3.311	4.8	15	[35, 10749]	2003-02-05
41	tt0271367	8869	Eight Legged Freaks	16.298	5.4	574	[28, 35, 27, 53]	2002-07-17
42	tt0271582	18323	Joshua	3.858	6.8	13	[18]	2002-04-19
43	tt0271604	165065	कुछ खट्टी कुछ मीठी	1.441	5.8	4	[10751, 18]	2001-01-19
44	tt0271668	11078	National Security	11.628	5.6	483	[28, 35, 80, 53]	2003-01-17
45	tt0271748	383281	Raju Chacha	1.443	5.8	9	[]	2000-12-21
46	tt0271885	13442	Zig Zag	4.675	6.4	16	[18]	2002-06-14
47	tt0272020	2100	The Last Castle	11.399	7.0	576	[28, 18, 53]	2001-10-19
48	tt0272152	167	K-PAX	12.33	7.2	1312	[18, 878]	2001-10-22
